ts_code	name	industry	close	pct_chg	主力流入(万元)	code_prefix
920445.BJ	龙竹科技	家居用品	13.98	5.9091	0.0	920
002431.SZ	棕榈股份	建筑工程	2.51	5.9072	11692.84	002
603638.SH	艾迪精密	专用机械	18.71	5.8857	3505.54	603
603906.SH	龙蟠科技	电气设备	17.87	5.8649	60496.979999999996	603
002847.SZ	盐津铺子	食品	73.36	5.8586	16355.970000000001	002
301036.SZ	双乐股份	染料涂料	34.08	5.8385	4817.15	301
603027.SH	千禾味业	食品	9.27	5.8219	5173.219999999999	603
603619.SH	中曼石油	石油开采	20.95	5.8081	17120.63	603
301150.SZ	中一科技	电气设备	44.54	5.7957	36479.54	301
002164.SZ	宁波东力	机械基件	13.93	5.7707	22342.760000000002	002
603198.SH	迎驾贡酒	白酒	42.38	5.7385	18148.7	603
601089.SH	福元医药	化学制药	23.06	5.7313	4199.92	601
920834.BJ	三维装备	塑料	17.72	5.7279	0.0	920
002675.SZ	东诚药业	化学制药	15.6	5.6911	9628.54	002
301246.SZ	宏源药业	化学制药	19.35	5.68	35965.2	301
600637.SH	东方明珠	影视音像	9.7	5.6645	44327.79	600
603848.SH	好太太	家居用品	21.49	5.6539	3620.0299999999997	603
920017.BJ	星昊医药	化学制药	21.32	5.6492	0.0	920
920871.BJ	派特尔	塑料	19.27	5.6469	0.0	920
301089.SZ	拓新药业	化学制药	32.19	5.6449	8496.900000000001	301
002765.SZ	蓝黛科技	元器件	13.76	5.6025	37408.83	002
002486.SZ	嘉麟杰	服饰	3.02	5.5944	19728.04	002
603353.SH	和顺石油	石油贸易	21.58	5.5773	3263.96	603
002136.SZ	安纳达	化工原料	11.74	5.5755	6536.18	002
002791.SZ	坚朗五金	其他建材	22.7	5.5323	10799.16	002
605365.SH	立达信	家用电器	18.03	5.5003	2877.8	605
603280.SH	南方路机	工程机械	42.42	5.4961	6244.7	603
000688.SZ	国城矿业	铅锌	18.14	5.4651	25502.18	000
920599.BJ	同力股份	工程机械	22.9	5.4328	0.0	920
605378.SH	野马电池	电气设备	26.62	5.4257	8203.9	605
002980.SZ	华盛昌	电器仪表	23.97	5.409	8459.68	002
002497.SZ	雅化集团	小金属	20.31	5.397	101480.76000000001	002
301228.SZ	实朴检测	电器仪表	25.41	5.3046	3600.8900000000003	301
600702.SH	舍得酒业	白酒	62.09	5.2908	26677.61	600
000813.SZ	德展健康	化学制药	4.38	5.2885	20093.88	000
301393.SZ	昊帆生物	化工原料	56.99	5.2836	7948.09	301
603787.SH	新日股份	摩托车	14.37	5.2747	2102.08	603
301178.SZ	天亿马	软件服务	62.16	5.2667	6918.33	301
003020.SZ	立方制药	化学制药	28.43	5.2573	3920.2299999999996	003
301349.SZ	信德新材	化工原料	48.8	5.2178	13402.21	301
002668.SZ	TCL智家	家用电器	10.89	5.2174	21896.23	002
301193.SZ	家联科技	家居用品	19.21	5.2026	1846.66	301
002630.SZ	ST华西	专用机械	3.05	5.1724	8751.4	002
603776.SH	永安行	公共交通	20.05	5.139	1956.4899999999998	603
001212.SZ	中旗新材	其他建材	49.81	5.1287	14044.220000000001	001
002047.SZ	*ST宝鹰	装修装饰	3.08	5.1195	431.1	002
605100.SH	华丰股份	机械基件	31.63	5.118	3770.83	605
601929.SH	吉视传媒	影视音像	3.7	5.1136	34624.48	601
603730.SH	岱美股份	汽车配件	7.63	5.0964	6633.950000000001	603
002550.SZ	千红制药	生物制药	9.3	5.0847	17199.27	002
603828.SH	ST柯利达	装修装饰	6.62	5.0794	4400.860000000001	603
002808.SZ	*ST恒久	元器件	6.42	5.0736	2306.7200000000003	002
000609.SZ	ST中迪	区域地产	7.25	5.0725	1182.69	000
000736.SZ	*ST中地	全国地产	5.61	5.0562	9362.55	000
000504.SZ	*ST生物	医疗保健	9.57	5.0494	1678.65	000
600278.SH	东方创业	商贸代理	8.36	5.0251	21997.269999999997	600
600735.SH	ST新华锦	服饰	7.32	5.0215	8749.689999999999	600
603656.SH	泰禾智能	专用机械	23.43	5.0202	5134.08	603
000691.SZ	*ST亚太	化工原料	11.73	5.0134	13661.01	000
601689.SH	拓普集团	汽车配件	73.78	5.01	257870.72999999998	601
600624.SH	ST复华	化学制药	5.87	5.0089	2006.67	600
603048.SH	浙江黎明	汽车配件	20.58	5.0	1027.28	603
